if,then,support,confidence,lift
"medication_none, knee_l_exam_creps_left",knee_l_pain_walking,0.125,0.8666666666666667,3.3382716049382712
"knee_l_diag_oa_knee, knee_l_pain_walking",knee_l_reason_natural,0.16826923076923078,0.8333333333333334,3.3333333333333335
"knee_r_exam_swelling_non_pitting, knee_r_duration_val",knee_r_exam_tenderness_knee,0.125,0.9285714285714286,3.3300492610837438
"knee_r_exam_creps_right, knee_r_exam_swelling_non_pitting",knee_r_exam_tenderness_knee,0.125,0.9285714285714286,3.3300492610837438
"sex_female, knee_r_reason_natural",knee_r_diag_oa_knee,0.14903846153846154,0.8611111111111112,3.316872427983539
"knee_r_exam_creps_right, knee_r_pain_stairclimbing",knee_r_diag_oa_knee,0.13942307692307693,0.8529411764705882,3.285403050108932
"knee_l_pain_stairclimbing, knee_l_diag_oa_knee",knee_l_reason_natural,0.12980769230769232,0.8181818181818183,3.2727272727272734
"knee_l_exam_swelling_non_pitting, sex_female",knee_l_exam_tenderness_knee,0.125,0.896551724137931,3.271627344222625
"knee_l_exam_swelling_non_pitting, knee_l_exam_creps_left",knee_l_exam_tenderness_knee,0.125,0.896551724137931,3.271627344222625
lumbar_related_radiating,lumbar_exam_tenderness,0.1201923076923077,0.8333333333333335,3.2704402515723277
"tongue_sama, knee_r_pain_stairclimbing",knee_r_diag_oa_knee,0.1346153846153846,0.8484848484848485,3.2682379349046013
"knee_l_duration_val, knee_l_reason_natural",knee_l_pain_walking,0.1875,0.8478260869565217,3.2657004830917873
"tongue_sama, knee_l_pain_stairclimbing",knee_l_reason_natural,0.14903846153846154,0.8157894736842105,3.263157894736842
knee_r_exam_swelling_non_pitting,knee_r_exam_tenderness_knee,0.14423076923076922,0.9090909090909091,3.2601880877742944
"tongue_sama, knee_r_pain_walking",knee_r_diag_oa_knee,0.15865384615384615,0.8461538461538461,3.259259259259259
"tongue_sama, knee_l_pain_walking",knee_l_reason_natural,0.1875,0.8125,3.25
"tongue_sama, knee_l_pain_stairclimbing",knee_l_pain_walking,0.15384615384615385,0.8421052631578948,3.2436647173489277
"knee_l_pain_stairclimbing, knee_l_exam_creps_left",knee_l_pain_walking,0.15384615384615385,0.8421052631578948,3.2436647173489277
"knee_l_pain_walking, appetite_normal",knee_l_reason_natural,0.14423076923076922,0.8108108108108107,3.243243243243243
"knee_r_pain_walking, urine_normal",knee_r_diag_oa_knee,0.14903846153846154,0.8378378378378378,3.227227227227227
"knee_l_pain_stairclimbing, knee_l_pain_walking",knee_l_reason_natural,0.13942307692307693,0.8055555555555556,3.2222222222222223
knee_l_exam_swelling_non_pitting,knee_l_exam_tenderness_knee,0.14423076923076922,0.8823529411764705,3.219814241486067
"knee_l_pain_walking, knee_l_exam_creps_left",knee_l_reason_natural,0.1778846153846154,0.8043478260869565,3.217391304347826
"knee_r_pain_walking, stool_satisfactory",knee_r_diag_oa_knee,0.1201923076923077,0.8333333333333335,3.209876543209877
"stool_satisfactory, knee_r_reason_natural",knee_r_diag_oa_knee,0.1201923076923077,0.8333333333333335,3.209876543209877
"knee_l_pain_lowsitting, knee_l_pain_walking",knee_l_diag_oa_knee,0.125,0.896551724137931,3.1607247223845705
"stool_satisfactory, knee_l_reason_natural",knee_l_pain_walking,0.12980769230769232,0.8181818181818183,3.151515151515152
"knee_l_pain_walking, medication_none",knee_l_diag_oa_knee,0.1201923076923077,0.8928571428571429,3.14769975786925
"knee_r_pain_walking, knee_r_duration_val",knee_r_diag_oa_knee,0.16826923076923078,0.8139534883720931,3.1352282515073213
"knee_r_pain_walking, sex_female",knee_r_diag_oa_knee,0.14423076923076922,0.8108108108108107,3.1231231231231225
"knee_l_pain_walking, sex_female",knee_l_reason_natural,0.15384615384615385,0.7804878048780488,3.1219512195121952
"knee_l_pain_walking, knee_l_duration_val",knee_l_reason_natural,0.1875,0.78,3.12
knee_r_pain_walking,knee_r_diag_oa_knee,0.1778846153846154,0.8043478260869565,3.0982286634460547
knee_r_reason_natural,knee_r_diag_oa_knee,0.1778846153846154,0.8043478260869565,3.0982286634460547
"tongue_sama, knee_r_exam_rom",knee_r_exam_tenderness_knee,0.1201923076923077,0.8620689655172413,3.091557669441141
"knee_l_pain_walking, knee_l_reason_natural",knee_l_diag_oa_knee,0.16826923076923078,0.875,3.0847457627118646
"sex_female, knee_l_reason_natural",knee_l_pain_walking,0.15384615384615385,0.8,3.0814814814814815
"knee_l_diag_oa_knee, knee_l_duration_val",knee_l_pain_walking,0.19230769230769232,0.8,3.0814814814814815
"knee_l_pain_walking, urine_normal",knee_l_reason_natural,0.15865384615384615,0.7674418604651163,3.0697674418604652
"knee_l_pain_stairclimbing, knee_l_duration_val",knee_l_pain_walking,0.16826923076923078,0.7954545454545455,3.063973063973064
"medication_none, knee_l_duration_val",knee_l_diag_oa_knee,0.125,0.8666666666666667,3.055367231638418
"knee_l_pain_lowsitting, knee_l_exam_creps_left",knee_l_diag_oa_knee,0.125,0.8666666666666667,3.055367231638418
"knee_l_pain_stairclimbing, knee_l_exam_creps_left",knee_l_reason_natural,0.13942307692307693,0.7631578947368421,3.0526315789473686
"knee_l_diag_oa_knee, knee_l_exam_creps_left",knee_l_pain_walking,0.18269230769230768,0.7916666666666666,3.0493827160493825
"knee_l_diag_oa_knee, knee_l_duration_val",knee_l_reason_natural,0.18269230769230768,0.7599999999999999,3.0399999999999996
"knee_l_pain_lowsitting, knee_l_reason_natural",knee_l_diag_oa_knee,0.1201923076923077,0.8620689655172413,3.0391583869082406
"urine_normal, knee_l_reason_natural",knee_l_pain_walking,0.15865384615384615,0.7857142857142857,3.026455026455026
"knee_l_reason_natural, knee_l_exam_creps_left",knee_l_diag_oa_knee,0.17307692307692307,0.8571428571428571,3.0217917675544794
"knee_l_morning_stiffness, knee_l_diag_oa_knee",knee_l_pain_walking,0.1201923076923077,0.78125,3.009259259259259
"tongue_sama, knee_l_reason_natural",knee_l_pain_walking,0.1875,0.78,3.0044444444444443
"knee_l_pain_walking, stool_satisfactory",knee_l_reason_natural,0.12980769230769232,0.7500000000000001,3.0000000000000004
"tongue_sama, knee_l_diag_oa_knee",knee_l_reason_natural,0.1875,0.75,3.0
