if_symptom,then_suggest,support,confidence,lift
"tongue_sama, knee_l_duration_val, knee_r_morning_stiffness","medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness",0.13286713286713286,0.95,5.906521739130435
"medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness","tongue_sama, knee_l_duration_val, knee_r_morning_stiffness",0.13286713286713286,0.8260869565217391,5.906521739130435
"knee_l_duration_val, knee_l_morning_stiffness_duration","medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness",0.1258741258741259,0.9473684210526316,5.890160183066362
"knee_l_morning_stiffness_duration, knee_r_duration_val, medication_ongoing, knee_l_morning_stiffness","knee_l_duration_val, knee_r_morning_stiffness",0.11888111888111888,0.9444444444444443,5.871980676328501
"medication_ongoing, knee_r_duration_val, sex_female, knee_l_morning_stiffness","knee_l_duration_val, knee_r_morning_stiffness",0.11188811188811189,0.9411764705882353,5.851662404092072
"knee_r_exam_creps_right, knee_present, knee_l_exam_rom","knee_l_exam_creps_left, knee_r_exam_rom",0.1258741258741259,0.8571428571428572,5.836734693877552
"knee_l_exam_tenderness_knee, sex_female, knee_r_exam_rom","knee_l_duration_val, knee_r_duration_val, knee_l_exam_rom",0.1048951048951049,0.9375,5.828804347826087
"knee_l_duration_val, knee_l_morning_stiffness, knee_l_morning_stiffness_duration","medication_ongoing, knee_r_duration_val, knee_present, knee_r_morning_stiffness",0.11888111888111888,0.8947368421052632,5.815789473684211
"medication_ongoing, knee_r_duration_val, knee_l_duration_val, knee_l_exam_rom","sex_female, knee_r_exam_rom",0.11888111888111888,0.8095238095238095,5.788095238095238
"sex_female, knee_r_exam_rom","medication_ongoing, knee_r_duration_val, knee_l_duration_val, knee_l_exam_rom",0.11888111888111888,0.85,5.788095238095238
"knee_l_exam_creps_left, knee_r_duration_val, urine_normal, knee_l_exam_tenderness_knee","knee_r_exam_creps_right, knee_l_duration_val, knee_r_exam_tenderness_knee",0.11188811188811189,0.8888888888888888,5.777777777777777
"knee_l_duration_val, knee_r_exam_rom, knee_l_exam_tenderness_knee","medication_ongoing, knee_r_duration_val, knee_l_exam_rom",0.1048951048951049,0.8823529411764706,5.735294117647058
"knee_l_exam_creps_left, knee_r_duration_val, knee_present, knee_l_exam_rom","knee_l_duration_val, knee_r_exam_rom",0.11188811188811189,0.8421052631578948,5.734335839598998
"knee_r_morning_stiffness_duration, knee_l_duration_val, knee_r_duration_val","medication_ongoing, knee_l_morning_stiffness, knee_r_morning_stiffness",0.11888111888111888,1.0,5.720000000000001
"knee_r_duration_val, knee_present, knee_l_exam_rom","knee_l_duration_val, knee_r_exam_rom",0.13986013986013987,0.8333333333333334,5.674603174603175
"knee_l_duration_val, knee_r_exam_rom","knee_r_duration_val, knee_present, knee_l_exam_rom",0.13986013986013987,0.9523809523809524,5.674603174603175
"knee_l_duration_val, sex_female, knee_present, knee_r_exam_rom","knee_l_exam_tenderness_knee, knee_r_duration_val, knee_l_exam_rom",0.1048951048951049,0.8333333333333333,5.674603174603174
"knee_r_duration_val, knee_present, knee_r_morning_stiffness","tongue_sama, knee_l_duration_val, knee_l_morning_stiffness",0.13986013986013987,0.8695652173913044,5.6521739130434785
"tongue_sama, knee_l_duration_val, knee_l_morning_stiffness, knee_present","knee_r_duration_val, knee_r_morning_stiffness",0.13986013986013987,0.9090909090909091,5.6521739130434785
"knee_l_exam_tenderness_knee, knee_r_exam_rom","knee_r_duration_val, knee_present, knee_l_exam_rom",0.1258741258741259,0.9473684210526316,5.644736842105264
"knee_r_duration_val, knee_l_diag_oa_knee","medication_ongoing, knee_r_diag_oa_knee, knee_present",0.11888111888111888,0.9444444444444443,5.627314814814814
"knee_r_duration_val, knee_present, knee_r_morning_stiffness","tongue_sama, knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness",0.13286713286713286,0.8260869565217391,5.625258799171843
"tongue_sama, knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness","knee_r_duration_val, knee_present, knee_r_morning_stiffness",0.13286713286713286,0.9047619047619048,5.625258799171843
"medication_ongoing, knee_r_duration_val, knee_r_morning_stiffness","tongue_sama, knee_l_duration_val, knee_l_morning_stiffness, knee_present",0.13286713286713286,0.8636363636363635,5.613636363636362
"knee_l_duration_val, knee_r_exam_tenderness_knee, knee_r_exam_rom","knee_r_duration_val, knee_l_exam_rom",0.11188811188811189,0.9411764705882353,5.607843137254902
"sex_female, knee_present, knee_r_exam_rom","knee_l_duration_val, knee_r_duration_val, knee_l_exam_rom",0.1258741258741259,0.9,5.595652173913044
"knee_l_exam_creps_left, knee_r_exam_rom, knee_l_exam_tenderness_knee","knee_r_duration_val, knee_l_exam_rom",0.1048951048951049,0.9375,5.5859375
"medication_ongoing, knee_r_duration_val, knee_present, knee_l_exam_rom","knee_l_duration_val, knee_r_exam_rom",0.1258741258741259,0.8181818181818182,5.571428571428572
"knee_l_duration_val, knee_r_exam_rom","medication_ongoing, knee_r_duration_val, knee_l_exam_rom",0.1258741258741259,0.8571428571428572,5.571428571428571
"knee_l_morning_stiffness_duration, medication_ongoing, knee_l_duration_val","knee_r_duration_val, knee_r_morning_stiffness",0.11888111888111888,0.8947368421052632,5.562929061784898
"knee_l_exam_creps_left, knee_l_duration_val, gas, knee_present","knee_r_exam_creps_right, medication_ongoing, knee_r_duration_val, tongue_sama",0.11188811188811189,0.8888888888888888,5.526570048309178
"knee_l_morning_stiffness_duration, knee_r_morning_stiffness_duration","medication_ongoing, knee_r_duration_val, knee_l_duration_val, knee_r_morning_stiffness",0.11888111888111888,0.85,5.5249999999999995
"knee_l_duration_val, knee_present, knee_r_exam_rom","knee_l_exam_tenderness_knee, knee_r_duration_val, knee_l_exam_rom",0.11888111888111888,0.8095238095238095,5.512471655328798
"knee_r_morning_stiffness_duration, knee_l_morning_stiffness_duration, knee_r_duration_val, knee_r_morning_stiffness","knee_l_duration_val, knee_l_morning_stiffness",0.11888111888111888,1.0,5.5
"knee_l_duration_val, knee_l_morning_stiffness","medication_ongoing, knee_r_duration_val, knee_present, knee_r_morning_stiffness",0.15384615384615385,0.8461538461538461,5.5
"knee_l_duration_val, knee_l_morning_stiffness, knee_present","knee_r_duration_val, knee_r_morning_stiffness",0.16083916083916083,0.8846153846153846,5.5
"knee_l_exam_creps_left, knee_l_duration_val, knee_present, knee_r_exam_rom","knee_r_exam_creps_right, knee_r_duration_val, sex_female",0.1048951048951049,0.8823529411764706,5.485933503836317
"knee_l_exam_creps_left, knee_r_duration_val, sex_female, knee_l_exam_tenderness_knee","knee_r_exam_creps_right, knee_l_duration_val, knee_r_exam_tenderness_knee, knee_present",0.11188811188811189,0.8421052631578948,5.473684210526316
"knee_r_duration_val, knee_r_morning_stiffness","knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness, knee_present",0.15384615384615385,0.9565217391304349,5.471304347826088
"knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness","knee_r_duration_val, knee_present, knee_r_morning_stiffness",0.15384615384615385,0.8800000000000001,5.471304347826088
"tongue_sama, knee_l_duration_val, knee_r_duration_val, knee_l_morning_stiffness","medication_ongoing, knee_r_morning_stiffness",0.13286713286713286,0.95,5.434
"medication_ongoing, knee_present, tongue_sama, knee_l_exam_creps_left, knee_r_duration_val, knee_l_exam_tenderness_knee","knee_r_exam_creps_right, knee_l_duration_val, knee_r_exam_tenderness_knee",0.1048951048951049,0.8333333333333333,5.416666666666666
"knee_l_morning_stiffness_duration, knee_r_duration_val, knee_l_duration_val","medication_ongoing, knee_l_morning_stiffness, knee_r_morning_stiffness",0.11888111888111888,0.9444444444444443,5.402222222222222
"tongue_sama, medication_ongoing, knee_r_morning_stiffness","knee_l_duration_val, knee_r_duration_val, knee_l_morning_stiffness, knee_present",0.13286713286713286,0.9047619047619048,5.390873015873016
"tongue_sama, knee_l_morning_stiffness_duration, knee_present","medication_ongoing, knee_r_morning_stiffness",0.11188811188811189,0.9411764705882353,5.383529411764706
"knee_l_duration_val, surgery_other, knee_l_morning_stiffness, knee_present","medication_ongoing, knee_r_morning_stiffness",0.1048951048951049,0.9375,5.3625
"sex_female, knee_r_exam_rom","knee_r_duration_val, knee_l_exam_rom",0.1258741258741259,0.9,5.3625
"knee_l_exam_creps_left, knee_r_duration_val, gas","knee_r_exam_creps_right, knee_l_duration_val, knee_present, tongue_sama",0.11888111888111888,0.8947368421052632,5.331140350877193
"medication_ongoing, knee_r_morning_stiffness_duration, knee_l_morning_stiffness","knee_present, knee_r_morning_stiffness",0.13986013986013987,1.0,5.296296296296297
"knee_l_duration_val, knee_r_exam_tenderness_knee, knee_l_exam_rom","knee_r_duration_val, knee_r_exam_rom",0.11188811188811189,0.8888888888888888,5.296296296296296
"medication_ongoing, knee_r_morning_stiffness_duration, knee_l_morning_stiffness_duration","knee_l_duration_val, knee_l_morning_stiffness, knee_present, knee_r_duration_val, knee_r_morning_stiffness",0.11888111888111888,0.85,5.284782608695652
"knee_r_exam_creps_right, sex_female, knee_present, knee_l_exam_rom","knee_r_duration_val, knee_r_exam_rom",0.1048951048951049,0.8823529411764706,5.25735294117647
"medication_ongoing, knee_r_morning_stiffness","knee_l_duration_val, knee_r_duration_val, knee_l_morning_stiffness, knee_present",0.15384615384615385,0.8800000000000001,5.243333333333334
"knee_r_duration_val, knee_l_morning_stiffness, knee_present","medication_ongoing, knee_r_morning_stiffness",0.15384615384615385,0.9166666666666666,5.243333333333333
